Year,Gender,Race/Ethnicity,LEP Status,LEP Numeric,Economically Disadvantaged Status,ED Numeric,Language Code,English Language Proficiency Level,ELPL Numeric,Primary Disability Type,ELA Scale Score,ELA Achievement Level,ELA AL ,Math Scale Score,Math Achievement Level,Math AL ,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category,Fall RIT,Fall %ile,Typical RIT Growth Points,Tiered RIT Growth Points,Winter GOAL Score,Spring GOAL Score,Winter RIT,Winter %ile,BOY to Winter Growth,Met Winter goal?,Met Winter Goal Numeric,Spring RIT,Spring %ile,BOY to Spring RIT Growth,Winter to Spring RIT Growth ,Met Spring Goal?,Met Spring Goal Numeric 
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2507,Standard Met,3,2697,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,214,71,5,8,218,222,214,63,0,No,0,214,57,0,0,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2544,Standard Met,3,2628,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,216,75,5,6,219,222,218,73,2,No,0,216,62,0,-2,Not Yet,0
2017,M,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2503,Standard Met,3,2590,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,214,71,5,8,218,222,217,71,3,No,0,220,72,6,3,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2563,Standard Met,3,2632,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,209,59,6,9,214,218,225,86,16,Yes,1,214,57,5,-11,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2511,Standard Met,3,2562,Standard Met,3,Near Standard,Near Standard,Above Standard,201,38,7,11,206,212,186,6,-15,No,0,206,35,5,20,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2516,Standard Met,3,2564,Standard Met,3,Above Standard,Near Standard,Near Standard,205,48,6,9,210,214,203,34,-2,No,0,212,51,7,9,Not Yet,0
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,EARLY ADVANCED,4,NA,2522,Standard Met,3,2550,Standard Met,3,Above Standard,Near Standard,Below Standard,199,33,7,11,204,210,205,39,6,Yes,1,208,41,9,3,Not Yet,0
2017,F,Hispanic or Latino,Y,1,N,0,SPA,INTERMEDIATE,3,NA,2525,Standard Met,3,2536,Standard Met,3,Above Standard,Below Standard,Near Standard,194,22,8,12,200,206,206,42,12,Yes,1,205,33,11,-1,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2514,Standard Met,3,2561,Standard Met,3,Above Standard,Near Standard,Near Standard,208,56,6,9,213,217,216,68,8,Yes,1,204,30,-4,-12,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2531,Standard Met,3,2531,Standard Met,3,Near Standard,Near Standard,Near Standard,202,40,7,11,207,213,215,66,13,Yes,1,210,46,8,-5,Not Yet,0
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,NA,6,NA,2350,Standard Not Met,1,2539,Standard Met,3,Above Standard,Near Standard,Near Standard,163,1,12,18,172,181,168,1,5,No,0,173,1,10,5,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2586,Standard Exceeded,4,2504,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,211,64,5,8,215,219,214,63,3,No,0,214,57,3,0,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2521,Standard Met,3,2522,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,205,48,6,9,210,214,203,34,-2,No,0,209,43,4,6,Not Yet,0
2017,M,Hispanic or Latino,Y,1,N,0,SPA,INTERMEDIATE,3,NA,2502,Standard Met,3,2526,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,202,40,7,11,207,213,214,63,12,Yes,1,206,35,4,-8,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2548,Standard Met,3,2471,Standard Nearly Met,2,Below Standard,Below Standard,Near Standard,212,66,5,8,216,220,217,71,5,Yes,1,217,64,5,0,Not Yet,0
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2445,Standard Nearly Met,2,2507,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,202,40,7,11,207,213,205,39,3,No,0,202,26,0,-3,Not Yet,0
2017,M,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2486,Standard Nearly Met,2,2498,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,201,38,7,11,206,212,203,34,2,No,0,202,26,1,-1,Not Yet,0
2017,M,Hispanic or Latino,Y,1,N,0,SPA,EARLY ADVANCED,4,NA,2436,Standard Not Met,1,2497,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,205,48,6,9,210,214,209,50,4,No,0,205,33,0,-4,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,INTERMEDIATE,3,NA,2430,Standard Not Met,1,2525,Standard Nearly Met,2,Above Standard,Below Standard,Below Standard,188,12,9,14,195,202,194,15,6,No,0,200,24,12,6,Not Yet,0
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2396,Standard Not Met,1,2473,Standard Nearly Met,2,Near Standard,Below Standard,Below Standard,189,14,9,14,196,203,195,17,6,No,0,193,10,4,-2,Not Yet,0
2017,M,Hispanic or Latino,Y,1,N,0,SPA,BEGINNING,1,NA,2366,Standard Not Met,1,2459,Standard Nearly Met,2,Near Standard,Below Standard,Below Standard,195,24,8,12,201,207,202,32,7,Yes,1,178,1,-17,-24,Not Yet,0
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2367,Standard Not Met,1,2466,Standard Nearly Met,2,Near Standard,Below Standard,Below Standard,175,2,10,15,183,190,186,6,11,Yes,1,177,1,2,-9,Not Yet,0
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2507,Standard Met,3,2409,Standard Not Met,1,Below Standard,Near Standard,Below Standard,203,43,6,9,208,212,223,83,20,Yes,1,202,26,-1,-21,Not Yet,0
2017,F,Hispanic or Latino,Y,1,N,0,SPA,BEGINNING,1,ID,2343,Standard Not Met,1,2261,Standard Not Met,1,Below Standard,Below Standard,Below Standard,171,1,11,17,179,188,173,1,2,No,0,168,1,-3,-5,Not Yet,0
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,BEGINNING,1,NA,2357,Standard Not Met,1,2411,Standard Not Met,1,Below Standard,Below Standard,Below Standard,181,5,10,15,189,196,188,8,7,No,0,186,4,5,-2,Not Yet,0
2017,M,Hispanic or Latino,Y,1,N,0,SPA,EARLY INTERMEDIATE,2,SLD,2316,Standard Not Met,1,2377,Standard Not Met,1,Below Standard,Below Standard,Below Standard,162,1,13,20,172,182,155,1,-7,No,0,170,1,8,15,Not Yet,0
2017,F,Asian,Y,1,Y,1,SPA,EARLY INTERMEDIATE,2,SLD,2335,Standard Not Met,1,2419,Standard Not Met,1,Below Standard,Below Standard,Below Standard,184,8,9,14,191,198,184,4,0,No,0,188,5,4,4,Not Yet,0
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2436,Standard Not Met,1,2438,Standard Not Met,1,Below Standard,Below Standard,Below Standard,208,56,6,9,213,217,201,29,-7,No,0,206,35,-2,5,Not Yet,0
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,BEGINNING,1,NA,2260,Standard Not Met,1,2319,Standard Not Met,1,Below Standard,Below Standard,Below Standard,164,1,12,18,173,182,173,1,9,Yes,1,168,1,4,-5,Not Yet,0
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2428,Standard Not Met,1,2452,Standard Not Met,1,Near Standard,Below Standard,Below Standard,179,4,10,15,187,194,188,8,9,Yes,1,181,2,2,-7,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,AUT,2329,Standard Not Met,1,2285,Standard Not Met,1,Below Standard,Below Standard,Below Standard,148,1,13,20,158,168,158,1,10,Yes,1,157,1,9,-1,Not Yet,0
